x,y,z,dipdir,dipang
583649,4.44064e+06,1531.62,135,35
583665,4.44064e+06,1522,135,35
583665,4.44064e+06,1522,135,35
583677,4.44064e+06,1518.11,135,35
583677,4.44064e+06,1518.11,135,35
583692,4.44065e+06,1513,135,35
583692,4.44065e+06,1513,135,35
583701,4.44064e+06,1504.61,135,35
583701,4.44064e+06,1504.61,135,35
583709,4.44063e+06,1496.21,135,35
583867,4.44063e+06,1417.9,135,35
583883,4.44065e+06,1418.94,135,35
583883,4.44065e+06,1418.94,135,35
583886,4.44063e+06,1410.07,135,35
583886,4.44063e+06,1410.07,135,35
583889,4.44063e+06,1407.36,135,35
584172,4.44063e+06,1267.05,135,35
584183,4.44064e+06,1265.99,135,35
584206,4.44066e+06,1263.87,135,35
584183,4.44064e+06,1265.99,135,35
583523,4.4406e+06,1574.73,135,35
583529,4.4406e+06,1572.77,135,35
583529,4.4406e+06,1572.77,135,35
583531,4.44061e+06,1572.13,135,35
583556,4.44061e+06,1560.24,135,35
583531,4.44061e+06,1572.13,135,35
583556,4.44061e+06,1560.24,135,35
583565,4.44061e+06,1558.63,135,35
583565,4.44061e+06,1558.63,135,35
583583,4.44062e+06,1555.79,135,35
583596,4.44063e+06,1552.18,135,35
583583,4.44062e+06,1555.79,135,35
583709,4.44063e+06,1496.21,135,35
583712,4.44062e+06,1491.1,135,35
583712,4.44062e+06,1491.1,135,35
583719,4.44061e+06,1480.51,135,35
583719,4.44061e+06,1480.51,135,35
583732,4.44062e+06,1477.6,135,35
583732,4.44062e+06,1477.6,135,35
583735,4.4406e+06,1470.01,135,35
583753,4.4406e+06,1460.82,135,35
583774,4.44061e+06,1456.01,135,35
583774,4.44061e+06,1456.01,135,35
583787,4.44062e+06,1450.59,135,35
583787,4.44062e+06,1450.59,135,35
583801,4.44062e+06,1446.38,135,35
583801,4.44062e+06,1446.38,135,35
583816,4.44062e+06,1437.08,135,35
583816,4.44062e+06,1437.08,135,35
583829,4.44062e+06,1430,135,35
583829,4.44062e+06,1430,135,35
583846,4.44062e+06,1423.58,135,35
583846,4.44062e+06,1423.58,135,35
583856,4.44062e+06,1420,135,35
583867,4.44063e+06,1417.9,135,35
583856,4.44062e+06,1420,135,35
583889,4.44063e+06,1407.36,135,35
583896,4.44062e+06,1396.57,135,35
583896,4.44062e+06,1396.57,135,35
583904,4.4406e+06,1386.41,135,35
583985,4.4406e+06,1346.03,135,35
583992,4.44061e+06,1345,135,35
